rat_unique_id,thermal_relpath,thermal_abspath,thermal_filename,thermal_width,thermal_height,mask_abspath,mask_width,mask_height,csv_abspath,csv_shape,notes
Rat1,Rat1\Thermal Imaging\Thermal_1.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_1.png,Thermal_1.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_1.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_1_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_10.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_10.png,Thermal_10.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_10.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_10_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_11.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_11.png,Thermal_11.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_11.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_11_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_12.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_12.png,Thermal_12.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_12.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_12_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_13.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_13.png,Thermal_13.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_13.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_13_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_14.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_14.png,Thermal_14.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_14.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_14_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_15.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_15.png,Thermal_15.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_15.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_15_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_16.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_16.png,Thermal_16.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_16.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_16_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_17.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_17.png,Thermal_17.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_17.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_17_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_18.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_18.png,Thermal_18.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_18.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_18_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_19.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_19.png,Thermal_19.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_19.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_19_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_2.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_2.png,Thermal_2.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_2.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_2_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_20.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_20.png,Thermal_20.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_20.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_20_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_21.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_21.png,Thermal_21.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_21.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_21_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_22.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_22.png,Thermal_22.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_22.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_22_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_23.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_23.png,Thermal_23.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_23.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_23_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_24.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_24.png,Thermal_24.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_24.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_24_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_25.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_25.png,Thermal_25.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_25.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_25_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_26.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_26.png,Thermal_26.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_26.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_26_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_27.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_27.png,Thermal_27.png,640,480,..\Data For Segmentation\Rat1\Mask\Thermal_27.png,640,480,..\Data For Segmentation\Rat1\CSV\Thermal_27_CSV.csv,"(480, 640)",
Rat1,Rat1\Thermal Imaging\Thermal_28.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_28.png,Thermal_28.png,640,480,..\Data For Segmentation\Rat1\Mask\Thermal_28.png,640,480,..\Data For Segmentation\Rat1\CSV\Thermal_28_CSV.csv,"(480, 640)",
Rat1,Rat1\Thermal Imaging\Thermal_29.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_29.png,Thermal_29.png,640,480,..\Data For Segmentation\Rat1\Mask\Thermal_29.png,640,480,..\Data For Segmentation\Rat1\CSV\Thermal_29_CSV.csv,"(480, 640)",
Rat1,Rat1\Thermal Imaging\Thermal_3.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_3.png,Thermal_3.png,480,640,..\Data For Segmentation\Rat1\Mask\Thermal_3.png,480,640,..\Data For Segmentation\Rat1\CSV\Thermal_3_CSV.csv,"(640, 480)",
Rat1,Rat1\Thermal Imaging\Thermal_30.png,..\Data For Segmentation\Rat1\Thermal Imaging\Thermal_30.png,Thermal_30.png,640,480,..\Data For Segmentation\Rat1\Mask\Thermal_30.png,640,480,..\Data For Segmentation\Rat1\CSV\Thermal_30_CSV.csv,"(480, 640)",
